request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_254,1759.6,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-10-15. No safe payment plan is available within minimum balance limits.
request_255,3344996.82,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 in full on 2026-04-06.
request_256,218699.8,affordable_with_plan,installments,2024-06-03:218700,2024-06-03,none,Use 1 installments of INR 218700.
request_257,1085.19,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-15. No safe payment plan is available within minimum balance limits.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,Pay USD 1113.6 in full on 2026-01-07.
request_259,627.3,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-11-15. No safe payment plan is available within minimum balance limits.
request_260,13522274.67,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-18. No safe payment plan is available within minimum balance limits.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,Pay EUR 1830.4 in full on 2026-07-03.
request_262,9235991.2,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay IDR 9236000 in full on 2024-12-05.
request_263,13750,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-06-15. No safe payment plan is available within minimum balance limits.
request_264,39794.96,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-15. No safe payment plan is available within minimum balance limits.
request_265,45969.97,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Pay INR 45970 in full on 2024-03-06.
request_266,935,affordable_with_plan,installments,2025-08-03:935,2025-08-03,none,Use 1 installments of EUR 935.
request_267,1925,affordable_with_plan,installments,2026-01-05:1925,2026-01-05,none,Use 1 installments of EUR 1925.
request_268,1512.52,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-15. No safe payment plan is available within minimum balance limits.
request_269,15489.99,affordable_now,full_payment,2025-11-04:15490,2025-11-04,none,Pay ZAR 15490 in full on 2025-11-04.
request_270,535.4,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-08-30. No safe payment plan is available within minimum balance limits.
request_271,84759.98,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-11-15. No safe payment plan is available within minimum balance limits.
request_272,8815915.84,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-10. No safe payment plan is available within minimum balance limits.
request_273,13372190.89,affordable_with_plan,partial_payment,2026-04-07:13372190.89|2026-04-07:2488809.11,,none,Pay IDR 13372190.89 today and remainder on 2026-04-07.
request_274,2713.7,affordable_with_plan,installments,2024-12-04:2713.7,2024-12-04,none,Use 1 installments of EUR 2713.7.
request_275,15883984.86,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 in full on 2025-05-06.
